seconds,FHR,UC,FHR_denoised
0,127.5,17.5,127.5
1,127.5,22.0,127.5
2,127.5,21.5,127.5
3,127.5,17.5,127.5
4,127.5,20.0,127.5
5,127.5,17.5,127.5
6,127.5,16.5,127.5
7,127.5,15.5,127.5
8,127.25,15.0,127.25
9,127.25,14.5,127.25
10,127.25,13.5,127.25
11,0.0,13.5,127.5
12,0.0,12.5,127.5
13,0.0,16.5,127.5
14,0.0,19.0,127.5
15,0.0,8.0,127.5
16,0.0,5.0,127.5
17,0.0,10.0,127.5
18,0.0,10.5,127.5
19,0.0,10.0,127.5
20,0.0,9.0,127.5
21,0.0,8.0,127.5
22,0.0,10.0,127.5
23,0.0,10.5,127.5
24,0.0,8.0,127.5
25,0.0,3.5,127.5
26,0.0,6.0,127.5
27,0.0,6.5,127.5
28,0.0,7.5,127.5
29,0.0,8.5,127.5
30,0.0,8.5,127.5
31,0.0,10.0,127.5
32,0.0,11.5,127.5
33,0.0,10.5,127.5
34,149.0,10.5,149.0
35,149.0,10.5,149.0
36,149.0,10.5,149.0
37,148.5,10.0,148.5
38,148.5,10.0,148.5
39,148.75,11.0,148.75
40,148.0,12.5,148.0
41,148.0,13.5,148.0
42,146.5,13.0,146.5
43,146.5,13.0,146.5
44,145.0,13.5,145.0
45,144.0,13.5,144.0
46,144.0,12.0,144.0
47,143.75,11.0,143.75
48,143.75,12.5,143.75
49,144.5,12.5,144.5
50,145.0,12.5,145.0
51,145.0,12.5,145.0
52,144.75,13.0,144.75
53,144.75,13.0,144.75
54,144.75,13.5,144.75
55,144.75,13.0,144.75
56,144.75,9.5,144.75
57,144.75,6.5,144.75
58,144.75,9.0,144.75
59,145.0,9.0,145.0
60,145.0,8.0,145.0
61,145.0,7.5,145.0
62,151.0,8.5,151.0
63,151.0,8.0,151.0
64,151.0,6.0,151.0
65,151.0,8.0,151.0
66,151.0,6.0,151.0
67,151.0,4.5,151.0
68,151.0,3.5,151.0
69,151.0,5.5,151.0
70,151.0,5.5,151.0
71,151.0,5.5,151.0
72,150.75,5.5,150.75
73,150.75,5.5,150.75
74,151.0,5.5,151.0
75,150.75,4.5,150.75
76,150.75,3.0,150.75
77,150.75,6.0,150.75
78,0.0,2.5,127.5
79,0.0,1.0,127.5
80,0.0,0.5,127.5
81,0.0,3.0,127.5
82,0.0,3.0,127.5
83,0.0,2.0,127.5
84,0.0,2.0,127.5
85,0.0,2.0,127.5
86,0.0,2.0,127.5
87,0.0,2.0,127.5
88,0.0,2.0,127.5
89,0.0,2.5,127.5
90,0.0,2.0,127.5
91,0.0,3.5,127.5
92,0.0,7.5,127.5
93,0.0,7.5,127.5
94,0.0,7.5,127.5
95,0.0,8.0,127.5
96,145.0,8.5,145.0
97,145.0,12.0,145.0
98,143.25,17.5,143.25
99,143.25,21.0,143.25
100,144.25,19.5,144.25
101,145.0,18.5,145.0
102,145.0,17.5,145.0
103,145.0,16.0,145.0
104,145.0,16.0,145.0
105,145.0,17.0,145.0
106,145.25,17.0,145.25
107,145.25,16.5,145.25
108,146.25,15.0,146.25
109,146.25,14.0,146.25
110,145.75,14.0,145.75
111,145.75,12.5,145.75
112,145.75,12.0,145.75
113,146.0,12.0,146.0
114,146.0,12.0,146.0
115,147.0,12.0,147.0
116,147.75,13.5,147.75
117,147.75,13.0,147.75
118,148.25,14.5,148.25
119,147.5,12.0,147.5
120,147.5,11.0,147.5
121,147.75,11.0,147.75
122,147.75,10.5,147.75
123,147.75,10.0,147.75
124,147.0,9.5,147.0
125,147.0,9.5,147.0
126,147.0,9.0,147.0
127,147.0,10.0,147.0
128,146.75,9.5,146.75
129,147.0,10.0,147.0
130,147.0,13.0,147.0
131,146.5,15.5,146.5
132,146.5,14.0,146.5
133,147.25,12.0,147.25
134,149.5,12.0,149.5
135,149.5,11.0,149.5
136,150.0,12.5,150.0
137,150.5,12.0,150.5
138,150.5,12.0,150.5
139,151.25,13.0,151.25
140,152.5,16.0,152.5
141,152.5,15.5,152.5
142,153.25,14.0,153.25
143,153.75,14.5,153.75
144,153.75,17.0,153.75
145,152.75,19.0,152.75
146,152.75,17.5,152.75
147,152.5,15.5,152.5
148,152.25,14.5,152.25
149,152.25,15.0,152.25
150,151.75,14.5,151.75
151,152.75,16.5,152.75
152,152.75,16.5,152.75
153,153.75,15.5,153.75
154,153.75,14.5,153.75
155,153.75,14.5,153.75
156,153.5,16.5,153.5
157,153.5,20.0,153.5
158,153.25,18.5,153.25
159,152.75,18.5,152.75
160,152.75,17.0,152.75
161,154.5,16.5,154.5
162,155.0,16.5,155.0
163,155.0,17.0,155.0
164,154.0,16.5,154.0
165,154.0,14.5,154.0
166,154.0,14.5,154.0
167,154.5,14.0,154.5
168,154.5,13.5,154.5
169,154.0,13.0,154.0
170,153.75,12.5,153.75
171,153.75,12.0,153.75
172,153.5,13.0,153.5
173,154.0,13.5,154.0
174,154.0,15.0,154.0
175,155.0,17.0,155.0
176,155.25,13.5,155.25
177,155.25,12.0,155.25
178,154.75,11.5,154.75
179,154.5,12.0,154.5
180,154.5,16.0,154.5
181,156.75,16.5,156.75
182,157.0,14.5,157.0
183,157.0,14.5,157.0
184,154.25,13.0,154.25
185,154.25,13.5,154.25
186,155.0,13.5,155.0
187,152.75,15.0,152.75
188,152.75,17.5,152.75
189,151.75,17.5,151.75
190,148.75,19.0,148.75
191,148.75,17.5,148.75
192,149.75,17.5,149.75
193,149.75,16.0,149.75
194,149.5,15.0,149.5
195,149.0,15.0,149.0
196,149.0,14.5,149.0
197,149.25,15.5,149.25
198,149.25,15.0,149.25
199,149.25,15.0,149.25
200,149.0,15.0,149.0
201,149.0,14.0,149.0
